#{"t_start": 1775318454.5790184, "env_id": null}
r,l,t
-16.417839,21,4912.622756
-11.347488,21,4919.451348
-10.620678,21,4926.287754
-4.670893,21,4932.140737
-12.13286,21,4938.60428
-4.425253,21,4944.406981
5.896919,21,4949.958852
-16.894793,21,4956.683312
-11.587577,21,4963.639053
18.279532,41,4971.45783
5.918227,21,4977.618494
-7.448664,21,4984.251367
-13.580341,21,4991.098645
-15.079896,21,4996.568051
0.574577,21,5002.379714
-9.266901,21,5008.573467
-0.892091,21,5014.174172
-6.63025,21,5020.212654
-4.402785,21,5025.479923
-1.673633,21,5031.919972
-7.240563,21,5037.908514
-25.888036,21,5044.848249
-17.783534,21,5051.693402
0.254952,21,5071.369255
-4.33162,21,5076.852791
-8.40249,21,5083.534594
-7.682806,21,5089.544429
-1.644061,21,5095.003113
-10.0664,21,5102.465352
2.738006,21,5107.696331
-10.95309,21,5114.108027
-20.644991,21,5121.591899
-6.057606,21,5128.931608
-3.729246,21,5136.222446
-3.287249,41,5143.532075
-3.831889,21,5150.793488
-11.594809,21,5156.352804
3.708844,21,5162.45805
-1.507576,21,5168.858451
-20.990462,21,5175.667286
-6.859519,21,5180.920474
-11.160336,21,5187.763482
-10.565529,21,5193.724898
-10.629512,21,5199.584972
-11.18801,21,5206.392904
-1.544713,21,5213.195426
-4.074495,21,5218.307905
-14.315015,21,5239.017036
-11.391342,21,5246.012284
-14.340185,21,5253.414654
-3.327005,21,5259.238623
-17.311368,21,5265.983773
-5.773795,21,5273.452242
0.858387,21,5281.283538
-4.02059,21,5286.416932
2.702896,21,5291.842691
-4.54085,21,5297.415053
-4.457525,21,5303.159326
4.617374,41,5311.005188
-10.213592,21,5316.413064
-1.837186,21,5323.615399
-9.185443,21,5328.958325
-7.523251,21,5336.220622
-5.875095,21,5343.403154
-9.989705,21,5348.785533
-3.705852,21,5355.608979
-8.351616,21,5362.777649
-15.409728,21,5370.335152
-6.966335,21,5377.985576
-10.480239,21,5383.676542
-19.326328,21,5408.414511
-16.372366,21,5416.029536
-9.742544,21,5424.025513
0.569995,21,5429.546906
-4.509081,21,5435.148907
-11.193566,21,5441.946989
-9.203099,21,5448.49469
-1.236333,21,5454.284631
-1.136192,21,5460.122861
-11.893572,21,5466.133629
-18.427279,21,5472.794436
-7.329451,21,5479.59131
-7.454091,21,5486.975739
-7.79426,21,5492.057824
5.073051,21,5497.292033
3.374121,21,5503.124507
-6.904131,21,5510.235633
-11.673606,21,5517.599646
-1.328672,21,5523.014382
-5.966785,21,5528.359746
-3.966697,21,5534.63005
-8.184355,21,5542.708899
-20.000293,21,5550.0085
2.682702,21,5555.368692
-9.865318,21,5560.626923
-31.230079,21,5580.647711
-1.116239,21,5586.286809
-0.724207,21,5592.410325
-3.735837,21,5598.06478
-17.228114,21,5604.527366
-13.782325,21,5609.753494
-16.063627,21,5616.591696
-5.473267,21,5622.258661
-10.161492,21,5629.116151
-9.781201,21,5636.173686
-3.744686,21,5641.498248
-6.988006,21,5648.212999
-10.424152,21,5654.866933
-8.878093,21,5661.986765
-6.712627,21,5667.917761
-2.227245,21,5673.735353
-14.865151,21,5680.897136
-3.30209,21,5686.629595
-7.446576,21,5693.62842
-8.308296,41,5701.176945
-12.964524,21,5708.113548
-0.266326,21,5713.292422
-10.351024,21,5721.12933
-7.398287,21,5743.396065
-2.166924,41,5750.406852
-7.884757,21,5755.812271
-2.748181,21,5762.767122
-3.081836,21,5769.700729
-13.411969,21,5774.915959
-2.714562,21,5780.158999
-7.124868,21,5787.001915
-3.064897,21,5791.821259
-0.57701,21,5797.438379
-11.722251,21,5804.557449
-6.574041,21,5810.689619
-6.522083,21,5817.964039
-16.933715,21,5825.263933
-5.401492,21,5833.045935
9.306786,21,5838.939538
-25.673068,21,5846.029656
0.209717,21,5851.939736
-13.223283,21,5858.182324
-8.02997,21,5863.716661
1.307826,21,5868.795323
-8.974264,21,5875.574218
-2.555903,21,5881.330863
1.605109,21,5887.135125
-24.849757,21,5911.510947
-7.957113,21,5918.324672
-7.720522,21,5923.821883
-15.399274,21,5930.915531
-8.414849,21,5936.480525
-11.681743,21,5942.185693
1.386656,41,5950.135246
-3.43319,21,5956.75562
-3.62686,21,5962.252553
-4.558745,21,5967.554504
-2.105861,21,5974.923869
-14.024429,21,5981.677483
-2.898055,21,5989.064331
-12.726563,21,5996.0723
-11.427791,21,6002.9313
-2.116128,39,6011.344875
-7.039009,21,6018.502508
3.42801,41,6025.256213
3.137635,21,6030.873385
3.378296,21,6036.569669
-7.790763,21,6042.482716
-14.040406,21,6068.201098
-2.458281,21,6073.689881
-4.839952,27,6079.178721
-11.03216,21,6086.178174
-1.702218,21,6092.449078
0.896834,21,6099.383411
1.264648,21,6105.036388
-9.681119,21,6112.177655
3.164525,21,6118.142973
-7.990087,21,6123.681926
1.462209,21,6129.572225
-7.655217,21,6134.98115
-4.784414,21,6140.79777
-13.50162,21,6147.760348
-3.892206,21,6153.990493
-2.464736,21,6160.969604
-4.008889,41,6168.907442
-7.966899,21,6176.15474
-6.920887,21,6182.975482
-3.611814,21,6190.627728
-6.52483,21,6197.62244
-5.714509,21,6204.791014
-13.080608,21,6211.856352
-20.355408,21,6236.782834
-3.857808,21,6243.921206
-15.26029,21,6250.508981
-15.009921,21,6257.139481
-7.525129,21,6265.248112
1.943714,41,6272.903142
-2.334154,21,6278.258437
-5.585566,21,6285.106802
-12.826606,21,6291.799364
-15.752564,21,6298.545691
-13.607224,21,6305.734904
-15.231246,21,6313.466786
-8.466352,21,6320.656589
0.548259,21,6326.088276
-8.638587,21,6333.192242
-19.962577,21,6339.747237
